000.nii.gz	[(3, 47), (130, 370, 130, 370)]	48
001.nii.gz	[(3, 41), (130, 370, 130, 370)]	48
002.nii.gz	[(4, 44), (130, 370, 130, 370)]	48
003.nii.gz	[(0, 44), (130, 370, 130, 370)]	48
004.nii.gz	[(5, 42), (130, 370, 130, 370)]	48
005.nii.gz	[(2, 45), (130, 370, 130, 370)]	48
006.nii.gz	[(1, 45), (130, 370, 130, 370)]	48
007.nii.gz	[(5, 45), (130, 370, 130, 370)]	48
008.nii.gz	[(0, 43), (130, 370, 130, 370)]	48
009.nii.gz	[(1, 44), (130, 370, 130, 370)]	48
010.nii.gz	[(1, 42), (130, 370, 130, 370)]	48
011.nii.gz	[(5, 46), (130, 370, 130, 370)]	48
012.nii.gz	[(4, 44), (130, 370, 130, 370)]	48
013.nii.gz	[(2, 44), (130, 370, 130, 370)]	48
014.nii.gz	[(6, 44), (130, 370, 130, 370)]	48
015.nii.gz	[(0, 44), (130, 370, 130, 370)]	48
016.nii.gz	[(1, 45), (130, 370, 130, 370)]	48
017.nii.gz	[(0, 44), (130, 370, 130, 370)]	48
018.nii.gz	[(2, 43), (130, 370, 130, 370)]	48
019.nii.gz	[(0, 44), (130, 370, 130, 370)]	48
020.nii.gz	[(5, 43), (130, 370, 130, 370)]	48
021.nii.gz	[(2, 47), (130, 370, 130, 370)]	48
022.nii.gz	[(1, 43), (130, 370, 130, 370)]	48
023.nii.gz	[(2, 41), (130, 370, 130, 370)]	48
024.nii.gz	[(0, 45), (130, 370, 130, 370)]	48
025.nii.gz	[(1, 42), (130, 370, 130, 370)]	48
026.nii.gz	[(2, 43), (130, 370, 130, 370)]	48
027.nii.gz	[(2, 42), (130, 370, 130, 370)]	48
028.nii.gz	[(3, 45), (130, 370, 130, 370)]	48
029.nii.gz	[(2, 46), (130, 370, 130, 370)]	48
030.nii.gz	[(1, 41), (130, 370, 130, 370)]	48
031.nii.gz	[(4, 42), (130, 370, 130, 370)]	48
032.nii.gz	[(5, 44), (130, 370, 130, 370)]	48
033.nii.gz	[(0, 42), (130, 370, 130, 370)]	48
034.nii.gz	[(2, 42), (130, 370, 130, 370)]	48
035.nii.gz	[(3, 43), (130, 370, 130, 370)]	48
036.nii.gz	[(2, 42), (130, 370, 130, 370)]	48
037.nii.gz	[(4, 44), (130, 370, 130, 370)]	48
038.nii.gz	[(3, 44), (130, 370, 130, 370)]	48
039.nii.gz	[(3, 44), (130, 370, 130, 370)]	48
040.nii.gz	[(2, 45), (130, 370, 130, 370)]	48
041.nii.gz	[(4, 44), (130, 370, 130, 370)]	48
042.nii.gz	[(7, 46), (130, 370, 130, 370)]	48
043.nii.gz	[(2, 46), (130, 370, 130, 370)]	48
044.nii.gz	[(6, 45), (130, 370, 130, 370)]	48
045.nii.gz	[(3, 43), (130, 370, 130, 370)]	48
046.nii.gz	[(1, 45), (130, 370, 130, 370)]	48
047.nii.gz	[(1, 46), (130, 370, 130, 370)]	48
048.nii.gz	[(2, 44), (130, 370, 130, 370)]	48
049.nii.gz	[(4, 41), (130, 370, 130, 370)]	48
